LIBMORPHOCIMO3|CIMO3|CODMORPHOCIMO3|Comm|LESION|LIBLESION|MODIFADICAP
Adénocarcinome, SAI|M-8140/3|81403|G|A7X3|ADENOCARCINOME AVEC CALCOSPHERITE OU CORPS PSAMMOMATEUX|
Adénocarcinome avec métaplasie cartilagineuse et osseuse|M-8571/3|85713||A7X4|ADENOCARCINOME A STROMA CHONDROIDE OU OSTEOIDE OU OSTEOCARTILAGINEUX|
Carcinome hépatocellulaire fibrolamellaire (C22.0)|M-8171/3|81713||A7X5|CARCINOME FIBROLAMELLAIRE - HEPATOCARCINOME FIBROLAMELLAIRE|
Carcinome adénoïde kystique|M-8200/3|82003||A7X6|CYLINDROME MALIN (SAI) - CARCINOME ADENOIDE KYSTIQUE (SAI)|
Carcinome adénoïde kystique|M-8200/3|82003|G|A7X7|CYLINDROME MALIN A STROMA HYALIN - CARCINOME ADENOIDE KYSTIQUE A STROMA HYALIN|
Carcinome adénoïde kystique|M-8200/3|82003|G|A7X8|CYLINDROME MALIN A STROMA MUCOIDE - CARCINOME ADENOIDE KYSTIQUE A STROMA MUCOIDE|
Adénocarcinome, SAI|M-8140/3|81403|G|A7Y0|ADENOCARCINOME D'UN TYPE PARTICULIER (SAI)|
Carcinome des tubes droits du rein (C64.9)|M-8319/3|83193||A7Y1|ADENOCARCINOME DE TYPE BELLINIEN|
Adénocarcinome des glandes anales (C21.1)|M-8215/3|82153||A7Y4|ADENOCARCINOME DES GLANDES ANALES|
Adénocarcinome colloïde|M-8480/3|84803|G|A7Y5|ADENOCARCINOME A DEVIATION MINIME|
Carcinome riche en lipides (C50.-)|M-8314/3|83143||A7Y7|CARCINOME SECRETANT DES LIPIDES - CARCINOME RICHE EN LIPIDES|
Carcinome à cellules géantes ostéoclastiformes|M-8035/3|80353||A7Y8|CARCINOME A CELLULES GEANTES OSTEOCLASTIQUES|
Adénocarcinome métastatique, SAI|M-8140/6|81406|||METASTASE D'UN ADENOCARCINOME|ajouter : code Adicap
Tumeur basocellulaire (C44.-)|M-8090/1|80901|G|B0A0|NAEVUS BASOCELLULAIRE|
syndrome de Gorlin|D4-01046|01046||B4A0|NAEVOMATOSE BASOCELLULAIRE AU COURS D'UN SYNDROME DE GORLIN|
Carcinome basocellulaire fibro-épithélial (C44.-)|M-8093/3|80933||B4E0|TUMEUR FIBROEPITHELIALE DE PINKUS|
Carcinome basocellulaire, SAI (C44.-)|M-8090/3|80903||B7A0|CARCINOME BASOCELLULAIRE (SAI)|
Carcinome basocellulaire, SAI (C44.-)|M-8090/3|80903|G|B7A2|CARCINOME BASOCELLULAIRE ADAMANTINOIDE|
Carcinome basocellulaire adénoïde (C53.-)|M-8098/3|80983||B7A4|CARCINOME BASOCELLULAIRE ADENOIDE|
Carcinome basocellulaire, SAI (C44.-)|M-8090/3|80903|G|B7A6|CARCINOME BASOCELLULAIRE BOWENOIDE OU A CELLULES ATYPIQUES|
Carcinome basocellulaire, SAI (C44.-)|M-8090/3|80903|G|B7A7|CARCINOME BASOCELLULAIRE CYLINDROMATEUX|
Carcinome basocellulaire, SAI (C44.-)|M-8090/3|80903|G|B7A8|CARCINOME BASOCELLULAIRE A DIFFERENCIATION SEBACEE|
Carcinome basocellulaire, SAI (C44.-)|M-8090/3|80903|G|B7B2|CARCINOME BASOCELLULAIRE KERATINISANT OU PILAIRE|
Carcinome basocellulaire, SAI (C44.-)|M-8090/3|80903|G|B7B4|CARCINOME BASOCELLULAIRE KYSTIQUE|
Carcinome basocellulaire superficiel multifocal (C44.-)|M-8091/3|80913||B7B6|CARCINOME BASOCELLULAIRE PAGETOIDE OU SUPERFICIEL|
Carcinome basocellulaire, SAI (C44.-)|M-8090/3|80903|G|B7B8|CARCINOME BASOCELLULAIRE PIGMENTE|
Carcinome basocellulaire, SAI (C44.-)|M-8090/3|80903|G|B7D2|CARCINOME BASOCELLULAIRE SARCOMATOIDE (A CELLULES FUSIFORMES)|
Carcinome basocellulaire infiltrant, SAI (C44.-)|M-8092/3|80923||B7D4|CARCINOME BASOCELLULAIRE SCLERODERMIFORME|
Carcinome intermédiaire (C44.-)|M-8095/3|80953||B7D6|CARCINOME BASOCELLULAIRE DE TYPE INTERMEDIAIRE|
Carcinome basospinocellulaire (C44.-)|M-8094/3|80943||B7D8|CARCINOME BASOSPINOCELLULAIRE - CARCINOME MIXTE JUXTAPOSE BASO ET SPINOCELLULAIRE|
Tumeur bénigne|M-8000/0|80000|G|B0F0|TUMEUR BLASTEMATEUSE BENIGNE (SAI)|
||||B0F2|BLASTEME PERSISTANT|
||||B0F4|BLASTEME MASSIF|
||||B0F9|BLASTEMATOSE|
Médulloépithéliome bénin (C69.4)|M-9501/0|95010|G|B0G0|DIKTYOME|
Tumeur maligne, SAI|M-8000/3|80003|G|B7F0|TUMEUR BLASTEMATEUSE MALIGNE (SAI)|
Neuroblastome olfactif (C30.0)|M-9522/3|95223||B7F2|ESTHESIONEUROBLASTOME|
Neurocytome olfactif (C30.0)|M-9521/3|95213||B7F4|ESTHESIONEUROCYTOME|
Hépatoblastome (C22.0)|M-8970/3|89703||B7F6|HEPATOBLASTOME|
|M-9392/3|93923||B7G8|EPENDYMOBLASTOME|
Néphroblastome, SAI (C64.9)|M-8960/3|89603||B7K0|NEPHROBLASTOME (SAI)|
Néphroblastome, SAI (C64.9)|M-8960/3|89603|G|B7K1|NEPHROBLASTOME AU SEIN D'UN RELIQUAT NEPHROGENIQUE|
Néphroblastome, SAI (C64.9)|M-8960/3|89603|G|B7K2|NEPHROBLASTOME EPITHELIAL|
Néphroblastome kystique partiellement différencié (C64.9)|M-8959/1|89591||B7K3|NEPHROBLASTOME KYSTIQUE PARTIELLEMENT DIFFERENCIE|
Néphroblastome, SAI (C64.9)|M-8960/3|89603|G|B7K4|NEPHROBLASTOME MESENCHYMATEUX|
Néphroblastome, SAI (C64.9)|M-8960/3|89603|G|B7K5|NEPHROBLASTOME RHABDOMYOMATEUX FOETAL|
Néphroblastome, SAI (C64.9)|M-8960/3|89603|G|B7K6|NEPHROBLASTOME MIXTE OU COMPLEXE|
Néphroblastome, SAI (C64.9)|M-8960/3|89603|G|B7K7|NEPHROBLASTOME MODIFIE PAR LA THERAPEUTIQUE|
Néphroblastome, SAI (C64.9)|M-8960/3|89603|G|B7K8|NEPHROBLASTOME AVEC ANAPLASIE|
Néphroblastome, SAI (C64.9)|M-8960/3|89603|G|B7K9|NEPHROBLASTOME SANS ANAPLASIE (HISTOLOGIE FAVORABLE)|
Néphroblastome, SAI (C64.9)|M-8960/3|89603|G|B7L0|NEPHROBLASTOMATOSE (SAI)|
Néphroblastome, SAI (C64.9)|M-8960/3|89603|G|B7L2|NEPHROBLASTOMATOSE CORTICALE SUPERFICIELLE|
Néphroblastome, SAI (C64.9)|M-8960/3|89603|G|B7L5|NEPHROBLASTOMATOSE CORTICALE PROFONDE|
Rhabdomyosarcome embryonnaire, SAI|M-8910/3|89103|89913|B7N0|SARCOME EMBRYONNAIRE INDIFFERENCIE - SARCOME BOTRYOIDE (SAI)|
Chondrome, SAI (C40.-, C41.-)|M-9220/0|92200||C0A0|CHONDROME (SAI)|
Chondrome juxtacortical (C40.-, C41.-)|M-9221/0|92210||C0A2|ECCHONDROME - CHONDROME JUXTA-CORTICAL - CHONDROME PERIOSTE|
Chondrome, SAI (C40.-, C41.-)|M-9220/0|92200|G|C0A4|ENCHONDROME|
Chondroblastome, SAI (C40.-, C41.-)|M-9230/0|92300||C0C0|CHONDROBLASTOME|
Fibrome chondromyxoïde (C40.-, C41.-)|M-9241/0|92410||C0E0|FIBROME CHONDROMYXOIDE|
Ostéochondrome (C40.-, C41.-)|M-9210/0|92100||C0G0|OSTEOCHONDROME - EXOSTOSE OSTEOGENIQUE UNIQUE|
Chondromatose, SAI|M-9220/1|92201|G|C4A0|TUMEUR CARTILAGINEUSE DE PRONOSTIC INCERTAIN|
Chondromatose, SAI|M-9220/1|92201||C4D0|CHONDROMATOSE - OLLIER  MALADIE D'|
Ostéochondromatose, SAI (C40.-, C41.-)|M-9210/1|92101||C4G0|MALADIE EXOSTOSANTE - OSTEOCHONDROMATOSE|
Chondrosarcome, SAI (C40.-, C41.-)|M-9220/3|92203||C7A0|CHONDROSARCOME (SAI)|
Chondrosarcome juxtacortical (C40.-, C41.-)|M-9221/3|92213||C7A2|CHONDROSARCOME JUXTACORTICAL - CHONDROSARCOME PERIPHERIQUE|
Chondrosarcome, SAI (C40.-, C41.-)|M-9220/3|92203|G|C7A4|CHONDROSARCOME CENTRAL|
Chondrosarcome dédifférencié (C40.-, C41.-)|M-9243/3|92433||C7A5|CHONDROSARCOME INDIFFERENCIE OU DEDIFFERENCIE|
Chondrosarcome à cellules claires (C40.-, C41.-)|M-9242/3|92423||C7A6|CHONDROSARCOME A CELLULES CLAIRES|
Chondrosarcome mésenchymateux|M-9240/3|92403||C7A7|CHONDROSARCOME MESENCHYMATEUX|
Chondrosarcome myxoïde|M-9231/3|92313||C7A8|CHONDROSARCOME MYXOIDE - SARCOME CHORDOIDE|
Chondroblastome malin (C40.-, C41.-)|M-9230/3|92303||C7C0|CHONDROBLASTOME MALIN|
Chondrosarcome, SAI (C40.-, C41.-)|M-9220/3|92203|G|C7D0|CHONDROMATOSE EN TRANSFORMATION MALIGNE|
Chondrosarcome, SAI (C40.-, C41.-)|M-9220/3|92203|G|C7G0|MALADIE EXOSTOSANTE EN TRANSFORMATION MALIGNE|
Améloblastome, SAI|M-9310/0|93100||D0A0|AMELOBLASTOME - ADAMANTINOME (SAI)|
Améloblastome, SAI|M-9310/0|93100|G|D0A2|AMELOBLASTOME TYPE FOLLICULAIRE|
Améloblastome, SAI|M-9310/0|93100|G|D0A4|AMELOBLASTOME TYPE PLEXIFORME|
Améloblastome, SAI|M-9310/0|93100|G|D0A6|AMELOBLASTOME TYPE MALPIGHIEN|
Améloblastome, SAI|M-9310/0|93100|G|D0A7|AMELOBLASTOME TYPE BASOCELLULAIRE|
Améloblastome, SAI|M-9310/0|93100|G|D0A8|AMELOBLASTOME TYPE A CELLULES GRANULEUSES|
Tumeur odontogène bénigne|M-9270/0|92700||D0C0|TUMEUR ODONTOGENE BENIGNE (SAI)|
Tumeur odontogène adénomatoïde|M-9300/0|93000||D0C2|TUMEUR ODONTOGENE DE TYPE ADENOMATOIDE - ADENO-AMELOBLASTOME|
Tumeur odontogène épithéliale calcifiante|M-9340/0|93400||D0C3|TUMEUR ODONTOGENE EPITHELIALE CALCIFIEE|
Kyste odontogène calcifiant|M-9301/0|93010||D0C4|TUMEUR ODONTOGENE CALCIFIEE - KYSTE ODONTOGENE CALCIFIE|
Tumeur odontogène kératinisée|M-9312/0|93120||D0C5|TUMEUR ODONTOGENE EPIDERMOIDE OU SQUAMEUSE|
Fibrome améloblastique|M-9330/0|93300||D0C6|FIBROME AMELOBLASTIQUE|
Fibro-odontome améloblastique|M-9290/0|92900||D0C8|FIBRO-ODONTOME AMELOBLASTIQUE|
Fibrodentinome améloblastique|M-9271/0|92710||D0D1|DENTINOME|
Odontoaméloblastome|M-9311/0|93110||D0D2|ODONTO-AMELOBLASTOME|
Odontome complexe|M-9282/0|92820||D0D4|ODONTOME COMPLEXE|
Odontome composé|M-9281/0|92810||D0D6|ODONTOME COMPOSE|
Fibrome odontogène central, SAI|M-9321/0|93210||D0D8|FIBROME ODONTOGENE|
Myxome odontogène|M-9320/0|93200||D0D9|MYXOME ODONTOGENE - MYXOFIBROME ODONTOGENE|
Cémentome, SAI|M-9272/0|92720||D0F0|CEMENTOME (SAI)|
Cémentoblastome bénin|M-9273/0|92730||D0F2|CEMENTOBLASTOME BENIN|
Fibrome cémentifiant|M-9274/0|92740||D0F4|FIBROME CEMENTIFIANT|
Cémentome, SAI|M-9272/0|92720|G|D0F6|DYSPLASIE PERIAPICALE DU CEMENT|
Cémentome géant|M-9275/0|92750||D0F8|CEMENTOME GEANT|
Tumeur bénigne à cellules géantes|M-8003/0|80030|Créé|D0G0|TUMEUR ET PSEUDOTUMEUR A CELLULES GEANTES (SAI)|
granulome, cellules geantes|M-44110|44110||D0G2|GRANULOME CENTRAL A CELLULES GEANTES DU MAXILLAIRE (SAI)|
chérubinisme|D5-14800|14800||D0G4|CHERUBINISME|
Fibrome ossifiant|M-9262/0|92620|G|D0H0|TUMEUR ET PSEUDOTUMEUR OSSIFIANTE DES MAXILLAIRES (SAI)|
Fibrome ossifiant|M-9262/0|92620||D0H1|FIBROME OSSIFIANT DES MAXILLAIRES|
fibrome non osteogenique de l'os|M-74810|74810||D0H2|DYSPLASIE FIBREUSE DES MAXILLAIRES|
Améloblastome malin|M-9310/3|93103||D7A0|AMELOBLASTOME MALIN|
Tumeur odontogène maligne|M-9270/3|92703||D7C0|TUMEUR ODONTOGENE MALIGNE (SAI)|
Fibrosarcome améloblastique|M-9330/3|93303||D7C6|FIBROSARCOME AMELOBLASTIQUE|
Odontosarcome améloblastique|M-9290/3|92903||D7C8|ODONTOSARCOME AMELOBLASTIQUE|
Tumeur odontogène maligne|M-9270/3|92703||D7L0|CARCINOME INTRA-OSSEUX PRIMITIF|
Carcinome, SAI|M-8010/3|80103|G|D7M0|CARCINOME DEVELOPPE A PARTIR DES KYSTES DES MACHOIRES|
||||D0N0|TUMEUR DYSGENETIQUE BENIGNE (SAI)|
Craniopharyngiome (C75.2)|M-9350/1|93501||D0N2|CRANIOPHARYNGIOME|
Néphrome kystique bénin (C64.9)|M-8959/0|89590||D0N4|NEPHROME KYSTIQUE MULTILOCULAIRE|
choristome|M-26000|26000||D0R0|CHORISTOME (SAI)|
choristome|M-26000|26000|G|D0R2|CHORISTOME COMPLEXE (SAI)|
choristome|M-26000|26000|G|D0R3|CHORISTOME OSSEUX|
hamartome|M-75500|75500||D0S0|HAMARTOME (SAI)|
hamartome|M-75500|75500|G|D0S1|HAMARTOME SIMPLIFIE|
hamartome|M-75500|75500|G|D0S2|HAMARTOME COMPOSITE (HEPATOBILIAIRE etc)|
hamartome cartilagineux|M-75610|75610||D0S3|HAMARTOCHONDROME - HAMARTOCHONDROMATOSE|
hamartome|M-75500|75500|G|D0S4|HAMARTOME INVERSE|
Néphrome mésoblastique|M-8960/1|89601||D0S5|BOLANDE  TUMEUR DE - NEPHROME MESOBLASTIQUE|
Néphrome mésoblastique|M-8960/1|89601|G|D0S6|NEPHROME MESOBLASTIQUE CELLULAIRE|
hamartome mesenchymateux|M-75640|75640||D0S7|HAMARTOME MESENCHYMATEUX SAI|
hamartome|M-75500|75500|G|D0S8|HAMARTOME METANEPHRIQUE PERSISTANT|
Tératome bénin|M-9080/0|90800|G|D0V0|TERATOME DYSGENETIQUE NON GONADIQUE|
Tératome, SAI|M-9080/1|90801|G|D4N0|TUMEUR DYSGENETIQUE POTENTIELLEMENT MALIGNE (SAI)|
Adamantinome des os longs (C40.-)|M-9261/3|92613||D4N2|ADAMANTINOME DES OS LONGS|
Chordome, SAI|M-9370/3|93703||D4N4|CHORDOME|
Tumeur mélanotique neuroectodermique|M-9363/0|93630||D4N8|TUMEUR NEURO-ECTODERMIQUE MELANIQUE DU NOURRISSON - PROGONOME MELANOTIQUE|
Kyste dermoïde avec transformation maligne (C56.9)|M-9084/3|90843||D7N0|TUMEUR DYSGENETIQUE CANCERISEE (SAI)|
Néphroblastome, SAI (C64.9)|M-8960/3|89603|G|D7S5|BOLANDE MALIGNE TUMEUR DE - NEPHROME MESOBLASTIQUE MALIN|
Kyste dermoïde avec transformation maligne (C56.9)|M-9084/3|90843|G|D7V0|TERATOME DYSGENETIQUE CANCERISE NON GONADIQUE|
acanthome, cellules claires|M-72162|72162|G|E0A0|ACANTHOME|
acanthome, cellules claires|M-72162|72162||E0A2|ACANTHOME A CELLULES CLAIRES|
acanthose|M-72160|72160|G|E0A4|ACANTHOME FISSURE POST TRAUMATIQUE|
acanthosis nigricans|D0-22320|22320||E0B0|ACANTHOSIS NIGRICANS|
acrokératose verruciforme de Hopf|D4-40250|40250||E0C0|ACROKERATOSE VERRUCIFORME DE HOPF|
Papillome, SAI (à l’exclusion du papillome de la vessie M-8120/1)|M-8050/0|80500|G|E0D0|CONDYLOME - PAPILLOME VIRAL (SAI)|
Papillome, SAI (à l’exclusion du papillome de la vessie M-8120/1)|M-8050/0|80500|G|E0D1|CONDYLOME VIRAL - PAPILLOME VIRAL EXOPHYTIQUE OU ACUMINE|
Papillome, SAI (à l’exclusion du papillome de la vessie M-8120/1)|M-8050/0|80500|G|E0D2|CONDYLOME VIRAL - PAPILLOME VIRAL A FORME PLANE|
Papillome épidermoïde inversé|M-8053/0|80530||E0D3|CONDYLOME VIRAL - PAPILLOME VIRAL INVERSE|
Papillome, SAI (à l’exclusion du papillome de la vessie M-8120/1)|M-8050/0|80500|G|E0D5|CONDYLOMEVIRAL - PAPILLOME VIRAL ATYPIQUE|
Papillome, SAI (à l’exclusion du papillome de la vessie M-8120/1)|M-8050/0|80500|G|E0D7|CONDYLOME GEANT DE BUSCHKE-LOWENSTEIN|
hyperplasie epitheliale focale|M-72151|72151||E0D8|HYPERPLASIE FOCALE EPITHELIALE - HECK  MALADIE DE|
Papillomatose épidermoïde|M-8060/0|80600||E0D9|CONDYLOMATOSE VIRAL - PAPILLOMATOSE VIRALE|
molluscum contagiosum|DE-31A10|31A10||E0F0|MOLLUSCUM CONTAGIOSIUM|
naevus epidermique|M-75530|75530||E0G0|NAEVUS EPIDERMIQUE (SAI)|
hamartome fibreux|M-75620|75620|G|E0G1|NAEVUS EPIDERMIQUE PIGMENTE ET PILEUX DE BECKER|
naevus epidermique|M-75530|75530|G|E0G2|NAEVUS VERRUQUEUX|
naevus epidermique|M-75530|75530|G|E0G4|NAEVUS VERRUQUEUX EPIDERMOLYTIQUE - ACANTHOME EPIDERMOLYTIQUE|
naevus epidermique|M-75530|75530|G|E0G6|NAEVUS VERRUQUEUX INFLAMMATOIRE LINEAIRE (NEVIL)|
naevus epidermique|M-75530|75530|G|E0G8|NAEVUS VERRUCOSEBACE|
Papillome, SAI (à l’exclusion du papillome de la vessie M-8120/1)|M-8050/0|80500||E0H0|PAPILLOME MALPIGHIEN - HYPERPLASIE PAPILLOMATEUSE MALPIGHIENNE (SAI)|
Papillome spinocellulaire, SAI|M-8052/0|80520||E0H2|PAPILLOME KERATOSIQUE - PAPILLOKERATOME|
Papillome épidermoïde inversé|M-8053/0|80530||E0H4|PAPILLOME INVERSE|
dermatosis papulosa nigra|M-72754|72754||E0H9|PAPILLOMATOSE NON VIRALE - PAPILLOMATOSE CONFLUENTE ET RETICULEE DE GOUGEROT ET CARTAUD - DERMATOSIS PAPULOSA NIGRA|
papulose bowenoide|M-76770|76770||E0J0|PAPULOSE BOWENOIDE|
keratose folliculaire inversee|M-72920|72920||E0K0|POROME FOLLICULAIRE - KERATOSE FOLLICULAIRE INVERSEE - VERRUE SEBORRHEIQUE PILAIRE|
verrue seborrheique|M-72750|72750||E0L0|VERRUE SEBORRHEIQUE (SAI)|
verrue seborrheique|M-72750|72750|G|E0L2|VERRUE SEBORRHEIQUE ADENOIDE|
verrue seborrheique|M-72750|72750|G|E0L4|VERRUE SEBORRHEIQUE HYPERKERATOSIQUE|
verrue seborrheique|M-72750|72750|G|E0L6|VERRUE SEBORRHEIQUE INFLAMMATOIRE VERRUE SEBORRHEIQUE IRRITEE|
naevus acanthotique|M-72750|72750|G|E0L7|VERRUE SEBORRHEIQUE A TYPE DE MELANO-ACANTHOME|
verrue seborrheique|M-72750|72750|G|E0L8|VERRUE SEBORRHEIQUE PIGMENTEE|
verrue seborrheique|M-72750|72750|G|E0L9|VERRUES SEBORRHEIQUES MULTIPLES - TRELAT  SYNDROME DE|
verrues|M-76600|76600||E0M0|VERRUE VIRALE (SAI)|
verrue plane|DE-32A12|32A12||E0M2|VERRUE PLANE|
verrue vulgaire|DE-32A11|32A11||E0M4|VERRUE VULGAIRE|
keratose|M-72600|72600||E4N0|KERATOSE PRE-EPITHELIOMATEUSE (SAI)|
balanite|D7-57110|57110|G|E4N1|BALANITE PSEUDO EPITHELIOMATEUSE HYPERKERATOSIQUE ET MICACEE|
cheilite|D5-22050|22050|G|E4N2|CHEILITE KERATOSIQUE PSEUDO-EPITHELIOMATEUSE|
épidermodysplasie verruciforme de Lewandowsky-Lutz|D4-40270|40270||E4N3|EPIDERMODYSPLASIE VERRUCIFORME DE LUTZ-LEWANDOWSKY|
hyperplasie pseudoepitheliomateuse|M-72090|72090||E4N4|HYPERPLASIE PSEUDO-EPITHELIOMATEUSE|
keratose actinique|M-72850|72850||E4P1|KERATOSE ACTINIQUE - KERATOSE SENILE - KERATOSE SOLAIRE (SAI)|
hyperkeratose senile|M-72850|72850|G|E4P2|KERATOSE ACTINIQUE ACANTHOLYTIQUE OU EPIDERMOLYTIQUE|
porokeratose actinique|M-72850|72850|G|E4P3|KERATOSE ACTINIQUE BOWENOIDE|
keratose actinique|M-72850|72850|G|E4P5|KERATOSE ACTINIQUE HYPERTROPHIQUE - CORNE CUTANEE|
keratose actinique|M-72850|72850|G|E4P6|KERATOSE ACTINIQUE LICHENOIDE|
keratose|M-72600|72600|G|E4R1|KERATOSE ARSENICALE|
keratose|M-72600|72600|G|E4R3|KERATOSE DU GOUDRON|
papillomatose orale|DE-32A35|32A35||E4R5|PAPILLOMATOSE ORALE FLORIDE|
papillomatose cutanée|DE-32A30|32A30||E4R6|PAPILLOMATOSIS CUTIS CARCINOIDES DE GOTRON|
radiodermite|D0-75200|75200||E4R7|RADIODERMITE - RADIOMUCITE|
xeroderma pigmentosum|D6-44510|44510||E4R8|XERODERMA PIGMENTOSUM|
Néoplasie intraépithéliale, grade III (voir règles de codage, page x)|M-8077/2|80001|G|E5S0|NEOPLASIE INTRAEPITHELIALE (SAI)|
dysplasie légère|M-74001|80001||E5S1|NEOPLASIE INTRAEPITHELIALE GRADE 1|
dysplasie modérée|M-74002|80001||E5S2|NEOPLASIE INTRAEPITHELIALE GRADE 2|
Néoplasie intraépithéliale, grade III (voir règles de codage, page x)|M-8077/2|80772||E5S3|NEOPLASIE INTRAEPITHELIALE GRADE 3|
Carcinome épidermoïde in situ, SAI|M-8070/2|80702||E5T0|CARCINOME EPIDERMOIDE IN SITU (SAI)|
|M-8072/2|80702|G|E5T1|CARCINOME EPIDERMOIDE IN SITU A GRANDES CELLULES OU DIFFERENCIE|
|M-8071/2|80702|G|E5T2|CARCINOME EPIDERMOIDE IN SITU A GRANDES CELLULES KERATINISANT OU MATURE|
|M-8073/2|80702|G|E5T5|CARCINOME EPIDERMOIDE IN SITU A PETITES CELLULES|
Épithéliome intra-épidermique de Borst et Jadassohn (C44.-)|M-8096/0|80960||E5T6|CARCINOME INTRA-EPIDERMIQUE DE BORST-JADASSOHN|
Maladie de Bowen (C44.-)|M-8081/2|80812||E5T7|BOWEN  MALADIE DE - ERYTHROPLASIE DE QUEYRAT|supprimer :  - ERYTHROPLASIE DE QUEYRAT
Érythroplasie de Queyrat (C60.-)|M-8080/2|80802||E5T7|BOWEN  MALADIE DE - ERYTHROPLASIE DE QUEYRAT|supprimer :  BOWEN  MALADIE DE - modifier code
Maladie de Bowen (C44.-)|M-8081/2|80812|G|E5T8|BOWEN A CELLULES CLAIRES  MALADIE DE|
Carcinome épidermoïde in situ, SAI|M-8070/2|80702|G|E5T9|CARCINOME EPIDERMOIDE IN SITU SUR LESION PRE-EXISTANTE (SAI)|
Carcinome épidermoïde micro-invasif|M-8076/3|80763||E6T0|CARCINOME EPIDERMOIDE MICROINVASIF (SAI)|
Carcinome épidermoïde micro-invasif|M-8076/3|80763|G|E6T7|CARCINOME EPIDERMOIDE MICRO-INVASIF SUR MALADIE DE BOWEN - CARCINOME DE BOWEN|
Carcinome épidermoïde micro-invasif|M-8076/3|80763|G|E6T9|CARCINOME EPIDERMOIDE MICRO-INVASIF SUR LESION PRE-EXISTANTE (SAI)|
Carcinome épidermoïde, SAI|M-8070/3|80703||E7A0|CARCINOME EPIDERMOIDE (SAI)|
Carcinome épidermoïde, SAI|M-8070/3|80703||E7T0|CARCINOME EPIDERMOIDE INVASIF (SAI)|
Carcinome épidermoïde non kératinisant, à grandes cellules, SAI|M-8072/3|80723||E7T1|CARCINOME EPIDERMOIDE DIFFERENCIE NON KERATINISANT|
Carcinome épidermoïde kératinisant, SAI|M-8071/3|80713||E7T2|CARCINOME EPIDERMOIDE DIFFERENCIE KERATINISANT OU MATURE|
Carcinome épidermoïde, SAI|M-8070/3|80703|G|E7T3|CARCINOME EPIDERMOIDE MOYENNEMENT DIFFERENCIE OU PLUS OU MOINS KERATINISANT|
Carcinome épidermoïde non kératinisant, à grandes cellules, SAI|M-8072/3|80723|G|E7T4|CARCINOME EPIDERMOIDE PEU DIFFERENCIE|
Carcinome épidermoïde, SAI|M-8070/3|80703|G|E7T5|CARCINOME EPIDERMOIDE DYSKERATOSIQUE|
Carcinome épidermoïde, SAI|M-8070/3|80703|G|E7T6|CARCINOME EPIDERMOIDE SUPERFICIEL|
Carcinome épidermoïde, SAI|M-8070/3|80703|G|E7T7|CARCINOME EPIDERMOIDE INVASIF SUR MALADIE DE BOWEN - CARCINOME DE BOWEN|
Carcinome épidermoïde, SAI|M-8070/3|80703|G|E7T9|CARCINOME EPIDERMOIDE SUR LESION PRE-EXISTANTE (SAI)|
Carcinome épidermoïde pseudo-glandulaire|M-8075/3|80753||E7V1|CARCINOME EPIDERMOIDE ADENOIDE|
Carcinome épidermoïde à cellules claires|M-8084/3|80843||E7V2|CARCINOME EPIDERMOIDE A CELLULES CLAIRES|
Carcinome épidermoïde à cellules fusiformes|M-8074/3|80743||E7V4|CARCINOME EPIDERMOIDE A CELLULES FUSIFORMES|
Carcinome à cellules géantes|M-8031/3|80313||E7V6|CARCINOME EPIDERMOIDE A CELLULES GEANTES|
Tumeur cloacale maligne (C21.2)|M-8124/3|81243|G|E7V8|CARCINOME CLOACOGENIQUE EPIDERMOIDE A PETITES CELLULES BASALOIDE|
Tumeur cloacale maligne (C21.2)|M-8124/3|81243|G|E7V9|CARCINOME CLOACOGENIQUE EPIDERMOIDE NON KERATINISANT A GRANDES CELLULES|
Carcinome lymphoépithélial|M-8082/3|80823|G|E7W2|CARCINOME EPIDERMOIDE NON KERATINISANT A TYPE DE CARCINOME NASO-PHARYNGIEN|
Carcinome lymphoépithélial|M-8082/3|80823|G|E7W3|CARCINOME EPIDERMOIDE KERATINISANT A TYPE DE CARCINOME NASO-PHARYNGIEN|
Carcinome verruqueux, SAI|M-8051/3|80513||E7W4|CARCINOME EPIDERMOIDE VERRUQUEUX - CARCINOME CUNICULATUM|
Carcinome épidermoïde, SAI|M-8070/3|80703|G|E7W6|CARCINOME EPIDERMOIDE A STROMA SARCOMATOIDE|
Carcinome épidermoïde, SAI|M-8070/3|80703|G|E7X1|CARCINOME EPIDERMOIDE ENDOLUMINAL|
Fibrome, SAI|M-8810/0|88100||F0A0|FIBROME (SAI)|
Tumeur fibreuse solitaire|M-8815/0|88150||F0A1|TUMEUR FIBREUSE SOLITAIRE|
Fibrome desmoplasique|M-8823/0|88230||F0A3|FIBROBLASTOME DESMOPLASTIQUE|
coussinet des phalanges|D1-50450|50450||F0B1|COUSSINET FIBREUX DES PHALANGES|
Élastofibrome|M-8820/0|88200||F0B2|ELASTOFIBROME|
fibrome aponevrotique calcifiant|M-78820|78820||F0B4|FIBROME APONEVROTIQUE JUVENILE CALCIFIE - FIBROME DE KEASBY|
naevus conjonctif|D4-40320|40320||F0B6|NAEVUS CONJONCTIF|
épiloïa|D4-01015|01015||F0B8|FIBROKERATOME ET TUMEUR DE KOENEN (EPILOIA)|
Fibrolipome|M-8851/0|88510||F0C1|FIBROME MOLLUSCUM - FIBROME MOU - ACROCORDON - MOLLUSCUM PENDULUM|
